"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2918","Validate Clicking Edit Button","chromium","Sun Aug 02 23:39:20 IST 2026","passed","Sun Aug 02 23:39:23 IST 2026","","table-navigation.fixture.spec.js","",""
"","260","fail first, pass second","chromium","Sun Aug 02 23:39:19 IST 2026","failed","Sun Aug 02 23:39:19 IST 2026","","retest-validation.spec.js","",""
"","2","@Regression Validate Kierra","chromium","Sun Aug 02 23:39:34 IST 2026","skipped","Sun Aug 02 23:39:34 IST 2026","","table-navigation.spec.js","",""
"","7836","@Regression Validate Salary of Kierra","chromium","Sun Aug 02 23:39:25 IST 2026","failed","Sun Aug 02 23:39:33 IST 2026","","table-navigation.spec.js","",""
"","3763","Validating file download and upload","chromium","Sun Aug 02 23:39:14 IST 2026","passed","Sun Aug 02 23:39:18 IST 2026","","file-upload-download.fixture.spec.js","",""
"","6755","Validating file download and upload","chromium","Sun Aug 02 23:39:15 IST 2026","passed","Sun Aug 02 23:39:21 IST 2026","","file-upload-download.spec.js","",""
"","2519","Validate Salary of Kierra","chromium","Sun Aug 02 23:39:24 IST 2026","passed","Sun Aug 02 23:39:26 IST 2026","","table-navigation.fixture.spec.js","",""
"","7508","@Smoke Validate Clicking Edit Button","firefox","Mon Aug 03 08:19:49 IST 2026","passed","Mon Aug 03 08:19:57 IST 2026","","table-navigation.spec.js","",""
"","4","@Regression Validate Cierra","chromium","Sun Aug 02 23:39:34 IST 2026","skipped","Sun Aug 02 23:39:34 IST 2026","","table-navigation.spec.js","",""
"","4023","@Smoke Validate Clicking Edit Button","webkit","Mon Aug 03 08:19:48 IST 2026","passed","Mon Aug 03 08:19:52 IST 2026","","table-navigation.spec.js","",""
"","3836","@Smoke Validate Clicking Edit Button","chromium","Mon Aug 03 08:19:48 IST 2026","passed","Mon Aug 03 08:19:52 IST 2026","","table-navigation.spec.js","",""
"","3","@Regression Validate Alden","chromium","Sun Aug 02 23:39:34 IST 2026","skipped","Sun Aug 02 23:39:34 IST 2026","","table-navigation.spec.js","",""
